headline,abstract,timebegin,timeend,placename,tags,imageurl,storyurl
Paco de Lucia,"The role of the flamenco guitar has evolved through the playing of Paco de Lucia (born Francisco Sanchez Gomez). The son of flamenco guitarist Antonio Sanchez and the brother of a flamenco guitarist, Ramon, and flamenco singer, Pepe, de Lucia has extended the former accompaniment-only tradition of flamenco guitar to include deeply personal melodic statements and modern instrumentation. His collaborations have included ten albums with late flamenco vocalist El Camaron de la Isla and work with American pianist Chick Corea and the Guitar Trio, featuring guitarists John McLaughlin, Larry Coryell, and Al DiMeola. His recordings with his sextet, which includes his brothers Ramon and Pepe, include such groundbreaking masterpieces as La Fabulosa Guitarra de Paco de Lucia, Fantasia Flamenca, Fuente y Caudal, Almoraima, and Zyryab. Yet, de Lucia has not completely forsaken traditional flamenco. His 1980 album, Interpreta a Manuel de Falla, paid homage to the classical composer and flamenco enthusiast, while his 1987 album, Siroco, marked a return to pure flamenco. ""I have never lost the roots in my music,"" de Lucia said during a late-'90s interview, ""because I would lose myself. What I have tried to do is have a hand holding onto tradition and the other scratching, digging in other places, trying to find new things I can bring into flamenco.""","December 21, 1947",,"Algeciras, Spain","Flamenco, International, Western European Traditions, Contemporary Flamenco, World Fusion, Jazz, Jazz Instrument, Guitar Jazz, Classical",http://image.allmusic.com/00/amg/pic200/drp300/p302/p30295qzjjz.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:fifoxqt5ldke~T1
Baaba Maal,"A superstar in his native Senegal, spiritual pop singer Baaba Maal was not even born to be a performer -- in West African culture, tradition dictates that the ancient griot caste must produce the singers and storytellers, and Maal was born in the city of Podor in 1953 into the fisherman's caste. Despite his parents' insistence that he become a lawyer, he grew up surrounded by music, absorbing both the traditional sounds of the region as well as American R&B and soul, later discovering jazz and blues. As a teen Maal moved to Dakar, joining the 70-piece orchestra Asly Fouta and teaming with his guitarist friend Mansour Seck to form the group Lasli Fouta; during the early '80s, the duo also spent several years in Paris, where they recorded the 1984 album Djam Leelii. Upon returning to Senegal, Maal formed the group Daande Lenol -- literally, ""The Voice of the Race"" -- and began honing a highly distinctive sound fusing traditional African music with elements of pop and reggae; in 1988 he issued the LP Wango, the first in a series of highly successful albums which also included 1991's Baayo, 1992's Lam Toro, and 1994's Firin' in Fouta. In 1998, Maal released Nomad Soul; the first recording on Chris Blackwell's new Palm Pictures label, it featured cameos by Brian Eno, Howie B., and others. Jombaajo appeared in 2000, followed by Missing You in 2001 and Television in 2009, all on Palm. ","November 12, 1953",,"Podor, Senegal","Afro-Pop, Club/Dance, Electronic, Worldbeat, Senegalese Music, West African, African Traditions, African Folk, Desert Blues",http://image.allmusic.com/00/amg/pic200/drp500/p521/p52159vsnkw.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wifexqw5ldke~T1
Lata Mangeshkar,"Any account of Indian playback music must start with Lata Mangeshkar. While it is not possible to more than list the most important playback singers, one, because of her supreme stature, merits detailed attention. Born September 28, 1929 in Indore, India, Lata Mangeshkar has been active in all walks of Indian popular and light classical music having sung ghazals, bhajans and pop. She is the supreme voice of popular Indian music, an Indian institution. Her importance rests not solely with her prodigious output. Many of her performances are considered timeless and undatable, although her voice has changed and matured over the years. In effect she sang the soundtrack for millions of Indians' lives. Until the 1991 edition, when her entry disappeared, the Guinness Book of Records listed her as the most recorded artist in the world with not less than 30,000 solo, duet and chorus-backed songs recorded in 20 Indian languages between 1948 and 1987. By 1990 she supposedly had worked on over 2000 film soundtracks as a playback singer -- meaning she pre-recorded the songs to which the films' leading ladies lip-synched.","September 28, 1929",,"Indore, India","Indian Pop, Indian Subcontinent Traditions, Indian",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jxftxqw5ld6e~T1
Thomas Mapfumo,"Thomas Mapfumo made revolutionary changes in Zimbabwe's pop-music scene by recording a song for which he'd written his own music. Before Mapfumo, songs in the traditional style were always based on tunes that had been handed down for generations. Mapfumo's music, chimurenga (""music of struggle""), became popular during the civil war against White minority rule, but his popularity made the government unhappy. In 1977 he was sent to a prison camp for subversion. To obtain his release, Mapfumo agreed to perform for the ruling party, but at the concert he sang only his most revolutionary songs. ""I told them that since I'd been in detention, I didn't have time to write new ones."" Mapfumo grew up in the country, went to a British colonial school, and worked as a herd boy, watching over the cattle. After hearing the Beatles and Wilson Pickett in the early 60s, Mapfumo taught himself guitar and started a band that played pop music from African countries as well as Beatles, Rolling Stones, funk, and soul. Mapfumo left Western music behind to form the Acid Band. Their first album, Hokoyo (""Beware""), contained the songs that led to Mapfumpo's detention. After Zimbabwe's liberation in 1978, Mapfumo formed Blacks Unlimited and released Gwindingwe Rine Shumba (""Lion in the Bush""), a joyous celebration of his country's independence. Jumbo Van Renen, the president of Earthworks Records, arranged to put out Mapfumo's music in England; when Van Renen later became CEO of Island Records in the UK, he signed Mapfumo again, this time to an international recording contract.",1945,,"Marondera, Zimbabwe","Afro-Pop, Chimurenga, Southern African, African Traditions, Zimbabwean",http://image.allmusic.com/00/amg/pic200/drp200/p292/p29260fpeux.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wifrxqw5ldke~T1
Ram Narayan,"The sarangi has been taken from its traditional accompanying role and transformed into a solo instrument of creative expression by Udaipur Rajasthan, born Ram Narayan. Urdu poet Ali Sardar Jafri claimed that Narayan ""has discovered the sau rang (100 hues) of this instrument""; classical violinist Yehudi Menuhin explained, ""I cannot separate the sarangi from (Narayan). So thoroughly fused are they, not only in my memory, but, in the fact of this sublime dedication of a great musician to an instrument which is no longer archaic because of the matchless way in which he has made it speak.""",,,,"Indian Classical, Indian Subcontinent Traditions",http://image.allmusic.com/00/amg/pic200/drp200/p270/p27033prcmd.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wpfwxqu5ldse~T1
Ebenezer Obey,"Since the 1960s, Ebenezer Obey has been one of the most popular, prolific, and influential musicians in Nigeria, releasing over fifty albums, developing juju style, and conducting an informal and highly creative campaign against his competitors in the musical world. Obey's first band, the International Brothers, was formed in 1964, and played a slow and music composed of layered guitars and Yoruban percussion sounds. Always a cultural and religious traditionalist, Obey worked within the praise song mold, vaunting both Christianity and the various heads of state for whom he played. But while his lyrics were traditional, his musical direction was highly innovative. In an effort to rise above his competition, Obey began to develop new musical ""systems,"" adding as many as 20 new musicians to his ensemble at a time, extending the length of his album tracks, and pumping out hit after hit. A stylish and bluesy guitarist whose music had been contagious in Nigeria for years, Obey finally enjoyed international success in 1980 with Current Affairs.",1942,,"Idogo, Western Region, Nigeria","Juju, Afro-Pop, African Traditions, West African, Nigerian",http://image.allmusic.com/00/amg/pic200/drp100/p155/p15571q1c12.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hifuxqw5ldke
Mari Boine Persen,"Mari Boine Persen has brought the contemporary music traditions of northern Norway's Sami people, more commonly known as the Lapps, to the international stage. Forsaking traditional music for the modern sounds of ""joik,"" Persen has incorporated influences of jazz, rock, and other ethnic music. Persen's success has been a source of pride for the Sami people. As the Norwegian newspaper VG pointed out, ""ethnic music has a rather large audience outside Norway. You should be aware of the fact that perhaps the most interesting artist in this wide field of music is from the Sami people and living in Norway.""",,,"Gamehisnjarqa, Norway","Folk, Worldbeat, Contemporary Folk, Sami, Nordic Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hifoxqw5ldke~T1
"Ken ""Professor"" Philmore","Longtime arranger for Fonclaire Steel Band who has moved over temporarily(?) to Phase II Pan Groove, Philmore has written a song each year driven by pan and sung by a calypsonian on record. He has hit especially big on two occasions, in '88 and again in '93.",,,,"Soca, Party Soca, Caribbean Traditions, Calypso, Steel Band",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jifoxqw5ldke
Astor Piazzolla,"It's not hyperbole to say that Astor Piazzolla is the single most important figure in the history of tango, a towering giant whose shadow looms large over everything that preceded and followed him. Piazzolla's place in Argentina's greatest cultural export is roughly equivalent to that of Duke Ellington in jazz -- the genius composer who took an earthy, sensual, even disreputable folk music and elevated it into a sophisticated form of high art. But even more than Ellington, Piazzolla was also a virtuosic performer with a near-unparalleled mastery of his chosen instrument, the bandoneon, a large button accordion noted for its unwieldy size and difficult fingering system. In Piazzolla's hands, tango was no longer strictly a dance music; his compositions borrowed from jazz and classical forms, creating a whole new harmonic and rhythmic vocabulary made for the concert hall more than the ballroom (which was dubbed ""nuevo tango""). Some of his devices could be downright experimental -- he wasn't afraid of dissonance or abrupt shifts in tempo and meter, and he often composed segmented pieces with hugely contrasting moods that interrupted the normal flow and demanded the audience's concentration. The complexity and ambition of Piazzolla's oeuvre brought him enormous international acclaim, particularly in Europe and Latin America, but it also earned him the lasting enmity of many tango purists, who attacked him mercilessly for his supposed abandonment of tradition (and even helped drive him out of the country for several years). But Piazzolla always stuck to his guns, and remained tango's foremost emissary to the world at large up until his death in 1992.","March 11, 1921","July 5, 1992","Mar Del Plata, Argentina","International, Tango, South American Traditions, World Fusion, Jazz, Latin Jazz, Classical",http://image.allmusic.com/00/amg/pic200/drp500/p522/p52220jqrws.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kifoxqw5ldke~T1
Plastic System Band,"An approximately 80-piece carnival street band that consists of horns, stiltwalkers, and dozens of percussionists playing on plastic drums and ti bwa. In the Martiniquan carnival tradition, their recordings are medleys of everything from French nursery songs to popular zouk songs to the myriad of Antilles carnival songs. These recordings give a superb introduction to Martiniquan carnival music. Bel Je includes both songs found on the ""Kalot Kannaval"" 12-inch single. ",,,,"International, Beguine Vide",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:aifoxqw5ldke
Daniel Ponce,"Latin percussionist whose presence and magnetism is inspirational of its own accord. Primarily a conga player who leads contemporary Latin-jazz dance oriented bands. A premier, in-demand sideman.",1953,,"Havana, Cuba","International, World Fusion, Latin Jazz",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:3ifpxqw5ld0e
Satyajit Ray,,"May 2, 1921","April 23, 1992","Calcutta, India","Indian Classical, Indian Subcontinent Traditions, Bollywood",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gxftxqq5ldde
Am·lia Rodrigues,"The unrivaled queen of the Portuguese fado, singer Am·lia Rodrigues was born in Lisbon's Alfama district in 1920; one of ten children, she was abandoned by her mother at the age of one and raised by her grandmother, spending her formative years selling produce on the streets and working as a seamstress. Against the wishes of her family, as a teen Rodrigues performed as a tango dancer, and at 19 she made her professional singing debut alongside her sister, Celeste, at the fashionable Lisbon nightspot Retiro da Severa.
","July 23, 1920","October 6, 1999","Lisbon, Portugal","Fado, Western European Traditions",http://image.allmusic.com/00/amg/pic200/drp300/p319/p31926kmfsv.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:3pfuxqu5ldfe~T1
The Sabri Brothers,"The Sabri Brothers, Haji Ghulam Farid (or Fareed) Sabri (1930-1994) and Haji Maqbool Ahmed Sabri (also born in Kalyana in East Punjab, on October 12, 1945), they were taught music by their father, Ustad Haji Inayat Sen Sabri. The family claims descent from Mian Tansen, one of the greatest and most legendary Hindustani musicians of all time. The musically gifted Tansen was a musician in the court of Akbar and is credited with miraculous powers of musicianship. Maqbool Ahmed Sabri formed his first party of qawwals at the age of 11; soon afterwards in 1956 his elder brother (who had been singing with Kallan Khan's qawwal and party) joined him and the Sabri Brothers proper came about. Their career was marked by brotherly squabbles followed by periods of each doing solo work. The duo created a body of recorded work, consistent in quality, but rather more traditional than Nusrat Fateh Ali Khan's recorded work. Ghulam Farid Sabri's funeral in Karachi was attended by an estimated 40,000 mourners. Haji Maqbool Ahmed Sabri continues to carry the torch. ",,,,"Qawwali, Indian Subcontinent Traditions",http://image.allmusic.com/00/amg/pic200/drp300/p308/p30821nxket.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gifwxqw5ld0e
Ravi Shankar,"Born on April 7, 1920, in Varanasi into an orthodox, well-off Brahmin family, Rabindra Shankar Chowdery's father, Shy∆m Shankar, was employed as a diwan (minister) by the Maharajah of Jhalawar. By the age of 13, Ravi Shankar was going along on every tour of his brother Uday Shankar's Compaigne de Danse et Musique Hindou (Company of Hindu Dance and Music). At the All-Bengali Music Conference in December 1934, he met the multi-instrumentalist Allauddin Khan. Precisely when Allauddin Khan was born is uncertain. People hazard dates in the 1860s around 1862, but in later years he himself gave his age haphazardly. He would transform many musicians' lives, but he had an incalculable effect on Ali Akbar (his son), Annapurna Devi (his daughter), and Shankar himself.","April 7, 1920","February 3, 2000","Varanasi, Uttar Pradesh, India","Raga,Indian Classical, Indian Subcontinent Traditions, World Fusion, Jazz, Classical",http://image.allmusic.com/00/amg/pic200/drp500/p552/p55289oa1j2.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hifexqw5ld0e~T1
Songhai,"One of the most interesting multicultural fusions of the 1980s was created by Mali-born kora (21-stringed lute) player Toumani Diabate, British bass player Danny Thompson, and members of Spanish flamenco group Katemah. Initially intending to record a one-time album in 1988, the group reformed to record a second album, Songhai 2, six years later. At the time of the first recording sessions, Diabate, the son of influential kora player Sidike Diabate, had begun to attract international attention with his solo album, Kaira. Released the previous year, the album remains one of the best-selling recordings of solo kora playing. Katemah was also beginning to gather steam. Consisting of two brothers -- Antonio and Juan Miguel Carmona and a cousin, Juan Carmona, the group had released its self-titled debut album in 1985. A founding member of British folk-rock group, Pentangle, Thompson remains become one of England's busiest sidemen, appearing on a lengthy list of albums by such top-notch artists as Richard Thompson, Loudon Wainwright III, and Tom Paxton. ",,,,"Worldbeat, Flamenco, Western European Traditions, Kor, West African,  African Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:3pfuxqu5ld0e
Swallow,,,,,"Soca, Party Soca, Caribbean Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:aifrxqw5ld0e
Sam Fan Thomas,"Thomas got his musical break as a guitarist in the Cameroonian band Tigres Noires in the early '70s but left the outfit in 1976 to pursue a solo career. He recorded a remarkable hit with ""Afric Typic Collection,"" a dance number that incorporates a variety of West and Central African rhythms. ","April 1, 1952",,"Bafoussam, Cameroon","Afro-Pop, Makossa, Soukous, Central African,  African Traditions",http://image.allmusic.com/00/amg/pic200/drp300/p318/p31865yddbt.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:0pfpxqu5ldae
JoÎlle Ursull,"An original member of the Guadeloupian female vocal trio Zouk Machine until she was manipulated out of the band, Ursull went on to become a solo star with the help of an incredible musical cast on Miyel and later with a crossover masterpiece, Black French.",,,,"Zouk, Caribbean Traditions, Western European Traditions, French",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gifyxqw5ld0e
Vujicsics,"Named after a popular Hungarian musicologist, Vujicsics is a group of schooled and professional musicial folklorists who concentrate on preserving the traditions of Serbia and Croatia (southern Hungary and Yugoslavia). They are highly regarded for their broad repertoire of collected songs and spirited performances with a variety of singers, including Marta Sebestyen. ",1974,,"Pom·z, Hungary","South/ Eastern European Traditions, European Folk, Hungarian Folk, Central European Traditions, Gypsy",http://image.allmusic.com/00/amg/pic200/drp300/p333/p33372xmcpv.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gifuxqw5ld0e
Mohamed Abdel Wahab,"As a singer and an influence on Egyptian music during its renaissance, Abdel Wahab was equaled only by Umm Kulthum. But while she was a traditionalist to the core, Abdel Wahab believed in learning from Western music. Yet he too was a musical nationalist, renewing rather than diluting Egyptian tradition. Starting from a highly traditional sound as a teenager, he gradually moved into a highly varied (and internationally popular) film-based repertoire. But besides contributing to the pop world, he introduced more fundamental elements, such as long instrumental passages, a major element in his work.",1907,"May 3, 1991","Cairo, Egypt","Traditional Middle Eastern Folk, Middle Eastern Traditions, Arabic",http://image.allmusic.com/00/amg/pic200/drp300/p344/p34499vkwwp.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jifixqw5ldhe
3 Mustaphas 3,"Before the term world music was a twinkling in anyone's eye, 3 Mustaphas 3 were doing it, mixing up different cultures into a gleeful grab bag of music and leaving a heritage that has influenced musicians all over the world. Legend -- their own legend -- has it that the Mustaphas were smuggled out of their mysterious Balkan hometown of Szegerely (where they played at the Crazy Loquat Club) in refrigerators, ending up in England. Not only did they play Balkan music, but a crazy quilt of pieces that they'd first heard on the (extremely eclectic) jukebox at the Crazy Loquat. At great story, but utter rubbish, of course. The truth was more prosaic. In 1982, Ben Mandelson (Hijaz Mustapha), a guitarist and musicologist, began playing with bassist Colin Bass (Sabah Habas Mustapha) and a revolving door of people all of whom assumed bizarre Mustapha relative names, including former Damned member Lu Edmonds, who proved himself adept at the saz and various other ethnic stringed instruments. What they ended up stitching together, both on record and live, drew from Latin, African, Indian, filmi, country, Balkan -- if it was out there, it became a Mustaphas influence. They played frequent shows in Britain and throughout Europe, and even toured the U.S. before releasing their debut album, Shopping, on Mendelson's Globestyle label in 1987. With world music gaining a higher market profile thanks to Paul Simon's successful Graceland, there was a more receptive audience for the strangeness the Mustaphas were purveying, and their touring schedule became more frantic. But they did still find time to record, coming out with the magnificent Heart of Uncle in 1989 and then Soup of the Century a year later. They became a cult act, with an audience that ranged from world music snobs to hippies to punks, all attracted by the band's wicked sense of humor; they had an outright refusal to take anything, especially themselves, seriously. Underscoring it was an excellent, if anarchic, musical sensibility, and respect for the cultures from which they drew their music. The question was, how far could they take it? 1991 brought Friends, Fiends & Fronds, a compilation of alternate mixes, singles, and rare tracks, which filled in some time. And the band continued to tour, although not as heavily as before. By 1992 there was still no ""new"" album, and the group seemed to be giving up the ghost. Certainly a year later, with no album in sight and dates sporadic at best, it seemed as if 3 Mustaphas 3 had gone the way of all flesh. Sabah Habas Mustapha began to focus on his solo career, playing Indonesian dangdut music and writing a massive Asian hit, ""Denpasar Moon,"" in addition to filling the bass slot with aging prog-rockers Camel. Lu Edmonds became a Mekon, touring and recording with them, and Mendelson turned his attention to producing records for Globestyle. However, no one has ever knocked the Mustaphas completely on the head. The band has always maintained that they would reform if the money was right, but no one has yet to come up with a suitable offer. The closest to a reunion has been Mendelson and Edmonds playing together as part of Billy Bragg's backing band, the Blokes, beginning in 1998. Although no gigs were mentioned, Mendelson and Bass did get together in a recording studio in early 2001 to select tracks for a much-belated Mustaphas live album, due to see the light of day in the summer of that year.",1986,,,"World Fusion, Jazz, Worldbeat, Pan-Global, International Fusion",http://image.allmusic.com/00/amg/pic200/drp300/p310/p31000ohlpe.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gifixqw5ldhe~T1
Abana Ba Nasery,"The musical traditions of Kenya were brought to the international stage by guitarist/vocalist Shem Tube and his band Abana Ba Nasery. Led by guitarist/vocalist Tube, the group introduced much of the world to the Kenyan tradition of omutibo, an uplifting music produced by two fingerpicked acoustic guitars and three-part vocal harmonies set to a rhythm played on a Fanta soda bottle. One of Kenya's most successful traditional groups of the 1960s and '70s, Abana Ba Nasery disbanded for more than a decade before reuniting in 1991. The revived band reflected the group members' shifting musical influences -- during the group's hiatus, Tube and guitarist/vocalist Justo Osala had performed with an electric banga band, les Bunyore. Their fascination with contemporary music continued following their re-formation. While their debut album, Classic Acoustic Recordings of Western Kenya, showcased the sound of the original acoustic trio, their second effort, Go Ahead, was much more produced. Recorded while the trio was on tour in Europe, the album introduced bagpipes, slide guitar, banjo, and whistle to their sound. Guests on the album included Chopper and Alan Prosser of Oysterband, Hijaz, and 258405ÅExpen$ive Mustapha of 3 Mustaphas 3 and Ron Kavana. ",,,,"African Folk, African Traditions, East African, Kenyan, Omutibo",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hifixqw5ldhe
Arrow,"From Montserrat, Arrow got his start as a first-class calypsonian in the traditional Trinidadian style but soon began exploring ways to bring the music to an international level. Always an innovator, he played around with mixing elements of cadence, salsa, and American R&R guitar into his music. In 1983 he experienced his first pan-Caribbean success, ""Hot Hot Hot"" (a song that later became an international hit). Since then he has branched out to include a wider array of world-music elements, from hip-hop to the sounds of various African nations, while concentrating on lyrics that act predominantly as a vehicle to drive the music to a higher frenzy. A late-'80s contract with Island/Mango Records has made him the soca artist most widely distributed and most easily available in the States. His 1992 release, Zombie Soca, was notable for including three songs with social commentary lyrics. Unlike those of most calypsonians, Arrow's early releases, including those preceding the Island/Mango albums, are still easily available.",,,Montserrat,"Soca, Party Soca, Calypso, Caribbean Traditions",http://image.allmusic.com/00/amg/pic200/drp100/p107/p10796i0176.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:0ifoxqw5ldhe
Francis Bebey,"With the sudden heart attack of songwriter, poet, and novelist, Francis Bebey, on May 28, 2001, Cameroon lost one of its most creative artists. The recipient of the prestigious Grand Prix Litteraire De L'Afrique Moudio for his first novel, The Son of Agatha Moudio, in 1968, Bebey went on to scribe several additional novels and scores of poems and songs. Active until shortly before his death, Bebey released two albums of his songs -- Dibiye and Mbira Dance -- to celebrate his 70th birthday. His compositions were covered by John Williams and the Kronos Quartet. According to Stelio Farandjis, secretary general of the High Council of Francophonie, ""(Bebey's) voice, his flute, his guitar, and especially his heart and his faith, enchanted the large ones of this world like the humblest among the humble ones."" Born in the Cameroonian capital city of Douala, Bebey was educated in his homeland and in the United States. He earned a broadcasting license from Studi-ecola de la Radiodiffusion Outre-Mer in Paris. Although he began his career as a radio journalist in Africa and France and worked for the information service of UNESCO from 1961 until 1974, Bebey remained committed to the arts. He continued to perform guitar recitals throughout his years of employment. In 1974, he left his job as a journalist to devote himself to music and writing. Bebey's additional novels include Headstock Ashanti in 1973, King Albert d'Effidi in 1976, and The Minister And Griot in 1992. He published a well-researched examination of African music, Musique Du Afrique, in 1979. Accompanying his vocals on mbira, guitar, and percussion, Bebey was joined by his quartet, which featured Patrick Bebey on vocals, mbira, flute, and percussion; Toups Bebey on saxophone and percussion; and Papa Noel on bass. ",1929,"May 28, 2001","Douala, Cameroon","International, West African, African Traditions, Cameroonian, Neo-Traditional",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:3ifqxqw5ldje~T1
Asha Bhosle,"Sister of the most influential voice of India, Lata Mangeshkar, Asha Bhosle was born September 8, 1933. In April 1942 her father Dinanath Mangeshkar died, causing upheaval in the family which moved from Pune to Kolhapur and in turn to Bombay. Around the age of ten she apparently sang her first film song in the Marathi film Majha Bal. Asha Bhosle has since sung in virtually every Indian language, in Russian and Malay, has sung Rabindra Sangeet (the songs of Bengali poet Tagore), has sung with the bhangra group Alaap, the Indian rap act Baba Sehgal and Boy George, the former lead vocalist of the British pop group Culture Club. Cassette compilations and recyclings of her work are numerous. ","September 8, 1933",,"Maharashtra, India","Bollywood, Indian Pop, Pop/Rock, Indipop, Indian Subcontinent Traditions,  Indian",http://image.allmusic.com/00/amg/pic200/drp200/p295/p29564fnglu.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:knfuxqqgld6e~T1
The Bhundu Boys,"The most commercially and creatively successful act ever to emerge from Zimbabwe, the Bhundu Boys embodied the world music zeitgeist of the mid-'80s. Creators of a frenetic, guitar-dominated style they dubbed ""jit,"" they fused airy melodies, shimmering harmonies, and pulsating rhythms drawn from across the African continent to make music that was both alien and accessible. Taking their name from the guerrillas who backed Robert Mugabe in his successful war to win Zimbabwe's independence from Britain, the Bhundu Boys formed in April 1980 in the city of Harare, which translates literally (and, sadly, prophetically) as ""death everywhere.""","April 1, 1980",,"Harare, Zimbabwe","Afro-Pop, African Traditions, Southern African, Zimbabwean, Jit",http://image.allmusic.com/00/amg/pic200/drp100/p110/p11015mmfeo.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kifqxqw5ldje~T1
Boukman Eksperyans,"Boukman Eksperyans announce their radicalism in their name, an allusion to Boukman the slave who initiated the island's 1804 independence uprising. Always aware that freedom and culture go hand in hand, this ten-member band sing in the sporadically outlawed creole tongue and blend African religious motifs and street slang into a wild, syncretic celebration of Haitian voodoo culture. To sing out so boldly in Haiti, however, is to invite repression; although the band's ""Wet Chenn"" (Remove the Chains) won first place in a 1989 musical contest, their 1992 entry was banned. In an environment torn apart with military unrest and governmental crackdowns, Boukman Eksperyans are regarded as a radical threat. Thus, their 1990 song, ""Kem Pa Sote"" was banned from Haitian airwaves. 1991's Vodou Adjae was the first Boukman Eksperyans album released in the U.S.; subsequent offerings include 1992's Kalfou Dangare, 1995's Libete/Freedom (Let's Take It!) and 1999's Live at Red Rocks. Kanaval Rasin-Vodou Adja followed in mid-2000.",,,"Port-au-Prince, Haiti","Jazz, Afro-Pop, Caribbean Traditions, Haitian, African Traditions, Worldbeat",http://image.allmusic.com/00/amg/pic200/drp000/p097/p09729q87lg.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hpfpxqu5ldde
The Boyoyo Boys,"This group would perhaps be unknown outside of South Africa had they not come to the attention of the great rock & roll swindler, Malcolm McLaren, who took their hit single ""Puleng"" and adapted it for his own production, ""Double Dutch."" McLaren came to blows with the Boys after refusing to share the royalities from his single. Only after a lengthy legal struggle did the group receive their due. Out of court and on stage, the Boyoyo Boys offer an ebullient music, consisting of chanted, bouncing rhythms. The group suffered a tragic blow in 1984 with the slaying of their drummer, but with their next album, proved to the world that they were Back in Town.",,,,"Pop/Rock, Afro-Pop, Mbaqanga, South African Pop, Southern African,  African Traditions",http://image.allmusic.com/00/amg/pic200/drp400/p405/p40546kjspf.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kpfuxqu5ldae
Naftule Brandwein,"Naftule Brandwein was not only one of the most influential musicians in the history of Klezmer music but one of this century's truly eccentric personalities. Proclaiming himself, ""the king of the Klezmer clarinet"", Brandwein brought innovation and excitement to the Jewish dance music that originated in eastern Europe. According to ""CMJ-NMR"", Brandwein was ""the Charlie Parker of klezmer, a master musician of the 78 rpm era who influenced everyone in his field who came after him"".",1889,1963,,"Klezmer, Jewish Music",http://image.allmusic.com/00/amg/pic200/drp200/p273/p27334ilhte.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gnfexqqgldje~T1
Hariprasad Chaurasia,"With his virtuousic blowing technique, Hariprasad Chaurasia has turned the Bansuri (bamboo) flute into an instrument of beauty. Blending the musical traditions of India with imagination and innovation, Chaurasia has reached beyond classical music to create a sound of his own. Presented with the national award of the Sangeet Natak Academy in 1984, Chaurasia received the Gaurav Puraskar from the state government of Maharashtra, India in 1990, the Padma Bhushan and the Konarak Samman in 1992 and the Yash Bharati Sanman in 1994. In addition to recording as a soloist, Chaurasia has collaborated with such jazz musicians as John McLaughlin and Jan Garbarek. His compositions have been heard in several Indian films including Silsila, which he co-wrote with Pandit Shiv Kumar Sharma. ","July 1, 1938",,,"Raga, Indian Classical, Indian Subcontinent Traditions,  Indian",http://image.allmusic.com/00/amg/pic200/drp100/p136/p13674pou87.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gpfqxqu5ldse~T1
I.K. Dairo,"Considered by many to be the ""father of juju"" for his many innovations, Isaiah Kehinde Dairo was born in Kwara State, Nigeria, in 1931. One story has it that his lifelong love of music stemmed from a drum that his father, a carpenter, made for him in his youth and that accompanied him wherever he went. In early adulthood, Dairo tried earning a living as a barber, a construction worker, and a cloth merchant, among other jobs. Dairo sat in with early juju bands at night, led by musical pioneers Ojoge Daniel and Oladele Oro. In the mid-'50s he formed his own group, the ten-member Morning Star Orchestra, which gained fame later as the Blue Spots.",1930,"February 7, 1996","Offa, Nigeria","Juju, Afro-Pop, West African, African Traditions, Nigerian",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:giftxqw5ldje
